node,rank,count,ratio
0,1,119,1.0
0,2,0,0.0
0,3,0,0.0
0,4,0,0.0
0,5,0,0.0
0,6,0,0.0
0,7,0,0.0
1,1,0,0.0
1,2,119,1.0
1,3,0,0.0
1,4,0,0.0
1,5,0,0.0
1,6,0,0.0
1,7,0,0.0
2,1,0,0.0
2,2,0,0.0
2,3,119,1.0
2,4,0,0.0
2,5,0,0.0
2,6,0,0.0
2,7,0,0.0
3,1,0,0.0
3,2,0,0.0
3,3,0,0.0
3,4,119,1.0
3,5,0,0.0
3,6,0,0.0
3,7,0,0.0
4,1,0,0.0
4,2,0,0.0
4,3,0,0.0
4,4,0,0.0
4,5,119,1.0
4,6,0,0.0
4,7,0,0.0
5,1,0,0.0
5,2,0,0.0
5,3,0,0.0
5,4,0,0.0
5,5,0,0.0
5,6,119,1.0
5,7,0,0.0
6,1,0,0.0
6,2,0,0.0
6,3,0,0.0
6,4,0,0.0
6,5,0,0.0
6,6,0,0.0
6,7,119,1.0
